KW1	KW2	P.value	adj.P.value	FisherP.value	ztPois.cdf	Raw.CO.Occurrence	Expansion	PMIDlist
anti-inflammatory agents/pharmacology	macrophages/drug effects	0.0026427423852313	0.0041792883219225	0.0735294117647058	0.5011717509037	1	1	[30755716]
anti-inflammatory agents/pharmacology	phenotype	4.12690011752925e-06	9.71665346331543e-06	0.0294117647058823	0.5011717509037	1	1	[30755716]
antibodies monoclonal humanized/pharmacology	cd36 antigens/antagonists &amp; inhibitors	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[33691090]
antibodies monoclonal humanized/pharmacology	cd8-positive t-lymphocytes/cytology	0.0001868757657405	0.0005524360047374	0.074074074074074	0.491090027111315	1	0	[33691090]
antibodies monoclonal humanized/pharmacology	cytokines/metabolism	1.13608141667498e-05	4.7336725694791e-05	0.074074074074074	0.491090027111315	1	0	[33691090]
antibodies monoclonal humanized/pharmacology	fatty acids/metabolism	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[33691090]
antibodies monoclonal humanized/pharmacology	multiple myeloma/drug therapy	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[33691090]
antibodies monoclonal humanized/pharmacology	reactive oxygen species/metabolism	0.0012446795696657	0.0020789136508493	0.102941176470588	0.5011717509037	1	1	[33691090]
antibodies monoclonal humanized/pharmacology	tumor microenvironment	0.0003039350520657	0.0008666781229012	0.074074074074074	0.491090027111315	1	0	[33691090]
antineoplastic agents immunological/administration &amp; dosage	cd8-positive t-lymphocytes/immunology	0.0042660683096238	0.0086454214520678	0.111111111111111	0.491090027111315	1	0	[31554642]
antineoplastic agents immunological/administration &amp; dosage	cell survival/drug effects	0.0035872302582571	0.0074200911190768	0.111111111111111	0.491090027111315	1	0	[31554642]
antineoplastic agents immunological/administration &amp; dosage	gene expression regulation neoplastic/drug effects	9.44154754378701e-11	1.14562710782353e-09	0.037037037037037	0.491090027111315	1	0	[31554642]
antineoplastic agents immunological/administration &amp; dosage	lipid metabolism/drug effects	9.44154754378701e-11	1.14562710782353e-09	0.037037037037037	0.491090027111315	1	0	[31554642]
antineoplastic agents immunological/administration &amp; dosage	sulfasalazine/administration &amp; dosage	9.44154754378701e-11	1.14562710782353e-09	0.037037037037037	0.491090027111315	1	0	[31554642]
antineoplastic agents/chemistry	apoptosis/drug effects	1.13608141667498e-05	4.7336725694791e-05	0.074074074074074	0.491090027111315	1	0	[31509699]
antineoplastic agents/chemistry	biological products/chemistry	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[31509699]
antineoplastic agents/chemistry	dichloroacetic acid/chemistry	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[31509699]
antineoplastic agents/chemistry	drug synergism	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[31509699]
antineoplastic agents/chemistry	energy metabolism/drug effects	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[31509699]
